img_path,file,src_age,src_gender,src_race,src_timestamp,pred_race,pred_gender,pred_age_DF_only,pred_age_grp,pred_age_lower,pred_age_upper,pred_model
part1\10_0_0_20170110225546130.jpg,10_0_0_20170110225546130.jpg,10,Male,White,2.017011022554613e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110225557604.jpg,10_0_0_20170110225557604.jpg,10,Male,White,2.0170110225557604e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_0_20170110225601897.jpg,10_0_0_20170110225601897.jpg,10,Male,White,2.0170110225601896e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_0_1_20170104010841239.jpg,10_0_1_20170104010841239.jpg,10,Male,Black,2.017010401084124e+16,Black,Male,,3-9,3.0,9.0,FairFace
part1\10_0_1_20170110220507258.jpg,10_0_1_20170110220507258.jpg,10,Male,Black,2.0170110220507256e+16,Black,Male,,10-19,10.0,19.0,FairFace
part1\10_0_1_20170110220523360.jpg,10_0_1_20170110220523360.jpg,10,Male,Black,2.017011022052336e+16,Other,Female,,10-19,10.0,19.0,FairFace
part1\10_0_1_20170110223455893.jpg,10_0_1_20170110223455893.jpg,10,Male,Black,2.017011022345589e+16,Other,Male,,3-9,3.0,9.0,FairFace
part1\10_0_1_20170110223848885.jpg,10_0_1_20170110223848885.jpg,10,Male,Black,2.0170110223848884e+16,Other,Male,,3-9,3.0,9.0,FairFace
part1\10_0_1_20170110225121326.jpg,10_0_1_20170110225121326.jpg,10,Male,Black,2.017011022512133e+16,Black,Male,,10-19,10.0,19.0,FairFace
part1\10_0_1_20170110225339066.jpg,10_0_1_20170110225339066.jpg,10,Male,Black,2.0170110225339064e+16,Black,Female,,10-19,10.0,19.0,FairFace
part1\10_0_2_20161219190639572.jpg,10_0_2_20161219190639572.jpg,10,Male,Asian,2.016121919063957e+16,Asian,Male,,3-9,3.0,9.0,FairFace
part1\10_0_2_20170110224230094.jpg,10_0_2_20170110224230094.jpg,10,Male,Asian,2.0170110224230096e+16,Asian,Male,,3-9,3.0,9.0,FairFace
part1\10_0_3_20161220215952636.jpg,10_0_3_20161220215952636.jpg,10,Male,Indian,2.016122021595264e+16,Indian,Male,,10-19,10.0,19.0,FairFace
part1\10_0_3_20170104225233504.jpg,10_0_3_20170104225233504.jpg,10,Male,Indian,2.0170104225233504e+16,Other,Male,,3-9,3.0,9.0,FairFace
part1\10_0_3_20170104225238736.jpg,10_0_3_20170104225238736.jpg,10,Male,Indian,2.0170104225238736e+16,Indian,Male,,3-9,3.0,9.0,FairFace
part1\10_0_3_20170105175322885.jpg,10_0_3_20170105175322885.jpg,10,Male,Indian,2.0170105175322884e+16,Indian,Male,,10-19,10.0,19.0,FairFace
part1\10_0_4_20161221192738446.jpg,10_0_4_20161221192738446.jpg,10,Male,Other,2.016122119273845e+16,Other,Male,,10-19,10.0,19.0,FairFace
part1\10_0_4_20170103200335831.jpg,10_0_4_20170103200335831.jpg,10,Male,Other,2.017010320033583e+16,Other,Male,,3-9,3.0,9.0,FairFace
part1\10_0_4_20170103200409638.jpg,10_0_4_20170103200409638.jpg,10,Male,Other,2.017010320040964e+16,Other,Male,,3-9,3.0,9.0,FairFace
part1\10_0_4_20170103200443015.jpg,10_0_4_20170103200443015.jpg,10,Male,Other,2.0170103200443016e+16,Other,Male,,3-9,3.0,9.0,FairFace
part1\10_0_4_20170103200501766.jpg,10_0_4_20170103200501766.jpg,10,Male,Other,2.017010320050177e+16,Other,Male,,3-9,3.0,9.0,FairFace
part1\10_0_4_20170103201924664.jpg,10_0_4_20170103201924664.jpg,10,Male,Other,2.0170103201924664e+16,Other,Male,,10-19,10.0,19.0,FairFace
part1\10_0_4_20170103202338152.jpg,10_0_4_20170103202338152.jpg,10,Male,Other,2.017010320233815e+16,Other,Male,,3-9,3.0,9.0,FairFace
part1\10_0_4_20170103212521420.jpg,10_0_4_20170103212521420.jpg,10,Male,Other,2.017010321252142e+16,Other,Male,,3-9,3.0,9.0,FairFace
part1\10_0_4_20170103223451479.jpg,10_0_4_20170103223451479.jpg,10,Male,Other,2.017010322345148e+16,Black,Female,,10-19,10.0,19.0,FairFace
part1\10_0_4_20170104010810728.jpg,10_0_4_20170104010810728.jpg,10,Male,Other,2.017010401081073e+16,Asian,Male,,3-9,3.0,9.0,FairFace
part1\10_1_0_20161220222001459.jpg,10_1_0_20161220222001459.jpg,10,Female,White,2.016122022200146e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170103175323250.jpg,10_1_0_20170103175323250.jpg,10,Female,White,2.017010317532325e+16,Other,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170103200654246.jpg,10_1_0_20170103200654246.jpg,10,Female,White,2.017010320065425e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109201728056.jpg,10_1_0_20170109201728056.jpg,10,Female,White,2.0170109201728056e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_1_0_20170109202251032.jpg,10_1_0_20170109202251032.jpg,10,Female,White,2.017010920225103e+16,Other,Female,,10-19,10.0,19.0,FairFace
part1\10_1_0_20170109202346880.jpg,10_1_0_20170109202346880.jpg,10,Female,White,2.017010920234688e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109203218966.jpg,10_1_0_20170109203218966.jpg,10,Female,White,2.017010920321897e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109203245653.jpg,10_1_0_20170109203245653.jpg,10,Female,White,2.017010920324565e+16,Black,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109203357787.jpg,10_1_0_20170109203357787.jpg,10,Female,White,2.0170109203357788e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109203427416.jpg,10_1_0_20170109203427416.jpg,10,Female,White,2.0170109203427416e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109203438428.jpg,10_1_0_20170109203438428.jpg,10,Female,White,2.0170109203438428e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_1_0_20170109203501969.jpg,10_1_0_20170109203501969.jpg,10,Female,White,2.017010920350197e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_1_0_20170109203512075.jpg,10_1_0_20170109203512075.jpg,10,Female,White,2.017010920351208e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109203556029.jpg,10_1_0_20170109203556029.jpg,10,Female,White,2.0170109203556028e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109203608654.jpg,10_1_0_20170109203608654.jpg,10,Female,White,2.0170109203608656e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109203642966.jpg,10_1_0_20170109203642966.jpg,10,Female,White,2.017010920364297e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_1_0_20170109203653735.jpg,10_1_0_20170109203653735.jpg,10,Female,White,2.0170109203653736e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_1_0_20170109203759972.jpg,10_1_0_20170109203759972.jpg,10,Female,White,2.017010920375997e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109203905538.jpg,10_1_0_20170109203905538.jpg,10,Female,White,2.0170109203905536e+16,Other,Female,,10-19,10.0,19.0,FairFace
part1\10_1_0_20170109203917216.jpg,10_1_0_20170109203917216.jpg,10,Female,White,2.0170109203917216e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109203924076.jpg,10_1_0_20170109203924076.jpg,10,Female,White,2.017010920392408e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109204148144.jpg,10_1_0_20170109204148144.jpg,10,Female,White,2.0170109204148144e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_1_0_20170109204244904.jpg,10_1_0_20170109204244904.jpg,10,Female,White,2.0170109204244904e+16,Other,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109204255055.jpg,10_1_0_20170109204255055.jpg,10,Female,White,2.0170109204255056e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109204259563.jpg,10_1_0_20170109204259563.jpg,10,Female,White,2.0170109204259564e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_1_0_20170109204338404.jpg,10_1_0_20170109204338404.jpg,10,Female,White,2.0170109204338404e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109204422889.jpg,10_1_0_20170109204422889.jpg,10,Female,White,2.017010920442289e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109204435809.jpg,10_1_0_20170109204435809.jpg,10,Female,White,2.017010920443581e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109204502951.jpg,10_1_0_20170109204502951.jpg,10,Female,White,2.017010920450295e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_1_0_20170109204617417.jpg,10_1_0_20170109204617417.jpg,10,Female,White,2.0170109204617416e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109204746535.jpg,10_1_0_20170109204746535.jpg,10,Female,White,2.0170109204746536e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109204844109.jpg,10_1_0_20170109204844109.jpg,10,Female,White,2.0170109204844108e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_1_0_20170109204859493.jpg,10_1_0_20170109204859493.jpg,10,Female,White,2.017010920485949e+16,Other,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109204931156.jpg,10_1_0_20170109204931156.jpg,10,Female,White,2.017010920493116e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109205003280.jpg,10_1_0_20170109205003280.jpg,10,Female,White,2.017010920500328e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_1_0_20170109205134282.jpg,10_1_0_20170109205134282.jpg,10,Female,White,2.017010920513428e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170109205141310.jpg,10_1_0_20170109205141310.jpg,10,Female,White,2.017010920514131e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_1_0_20170109205208368.jpg,10_1_0_20170109205208368.jpg,10,Female,White,2.017010920520837e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\10_1_0_20170110220649364.jpg,10_1_0_20170110220649364.jpg,10,Female,White,2.0170110220649364e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\10_1_1_20170109202938302.jpg,10_1_1_20170109202938302.jpg,10,Female,Black,2.0170109202938304e+16,Black,Female,,3-9,3.0,9.0,FairFace
part1\10_1_1_20170109203348828.jpg,10_1_1_20170109203348828.jpg,10,Female,Black,2.0170109203348828e+16,Asian,Female,,10-19,10.0,19.0,FairFace
part1\10_1_1_20170109203520178.jpg,10_1_1_20170109203520178.jpg,10,Female,Black,2.0170109203520176e+16,Indian,Female,,3-9,3.0,9.0,FairFace
part1\10_1_1_20170109203522559.jpg,10_1_1_20170109203522559.jpg,10,Female,Black,2.017010920352256e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_1_1_20170109204636561.jpg,10_1_1_20170109204636561.jpg,10,Female,Black,2.017010920463656e+16,Black,Female,,3-9,3.0,9.0,FairFace
part1\10_1_1_20170110225155603.jpg,10_1_1_20170110225155603.jpg,10,Female,Black,2.0170110225155604e+16,Black,Female,,10-19,10.0,19.0,FairFace
part1\10_1_2_20170103201007646.jpg,10_1_2_20170103201007646.jpg,10,Female,Asian,2.017010320100765e+16,Asian,Female,,3-9,3.0,9.0,FairFace
part1\10_1_2_20170104005417671.jpg,10_1_2_20170104005417671.jpg,10,Female,Asian,2.017010400541767e+16,Asian,Female,,3-9,3.0,9.0,FairFace
part1\10_1_2_20170104022216669.jpg,10_1_2_20170104022216669.jpg,10,Female,Asian,2.0170104022216668e+16,Asian,Female,,3-9,3.0,9.0,FairFace
part1\10_1_2_20170109201545634.jpg,10_1_2_20170109201545634.jpg,10,Female,Asian,2.017010920154563e+16,Asian,Female,,10-19,10.0,19.0,FairFace
part1\10_1_2_20170109205037024.jpg,10_1_2_20170109205037024.jpg,10,Female,Asian,2.0170109205037024e+16,Asian,Female,,3-9,3.0,9.0,FairFace
part1\10_1_3_20170104221633430.jpg,10_1_3_20170104221633430.jpg,10,Female,Indian,2.017010422163343e+16,Other,Female,,3-9,3.0,9.0,FairFace
part1\10_1_3_20170104221645430.jpg,10_1_3_20170104221645430.jpg,10,Female,Indian,2.017010422164543e+16,Other,Female,,10-19,10.0,19.0,FairFace
part1\10_1_3_20170104221711437.jpg,10_1_3_20170104221711437.jpg,10,Female,Indian,2.017010422171144e+16,Indian,Male,,3-9,3.0,9.0,FairFace
part1\10_1_3_20170109203848078.jpg,10_1_3_20170109203848078.jpg,10,Female,Indian,2.017010920384808e+16,Indian,Female,,10-19,10.0,19.0,FairFace
part1\10_1_3_20170109205323078.jpg,10_1_3_20170109205323078.jpg,10,Female,Indian,2.017010920532308e+16,Other,Female,,3-9,3.0,9.0,FairFace
part1\10_1_4_20161223225854867.jpg,10_1_4_20161223225854867.jpg,10,Female,Other,2.0161223225854868e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\10_1_4_20161223225900460.jpg,10_1_4_20161223225900460.jpg,10,Female,Other,2.016122322590046e+16,Other,Female,,10-19,10.0,19.0,FairFace
part1\10_1_4_20170103200950879.jpg,10_1_4_20170103200950879.jpg,10,Female,Other,2.017010320095088e+16,Other,Female,,3-9,3.0,9.0,FairFace
part1\10_1_4_20170104005649671.jpg,10_1_4_20170104005649671.jpg,10,Female,Other,2.017010400564967e+16,Other,Female,,3-9,3.0,9.0,FairFace
part1\110_1_1_20170110155117522.jpg,110_1_1_20170110155117522.jpg,110,Female,Black,2.017011015511752e+16,Other,Male,,70-130,70.0,130.0,FairFace
part1\110_1_1_20170110155201038.jpg,110_1_1_20170110155201038.jpg,110,Female,Black,2.017011015520104e+16,Indian,Female,,70-130,70.0,130.0,FairFace
part1\110_1_3_20170110155139762.jpg,110_1_3_20170110155139762.jpg,110,Female,Indian,2.017011015513976e+16,White,Female,,70-130,70.0,130.0,FairFace
part1\11_0_0_20170103200509559.jpg,11_0_0_20170103200509559.jpg,11,Male,White,2.017010320050956e+16,Other,Male,,10-19,10.0,19.0,FairFace
part1\11_0_0_20170103200824775.jpg,11_0_0_20170103200824775.jpg,11,Male,White,2.0170103200824776e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\11_0_0_20170104012556563.jpg,11_0_0_20170104012556563.jpg,11,Male,White,2.0170104012556564e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\11_0_0_20170110220408722.jpg,11_0_0_20170110220408722.jpg,11,Male,White,2.017011022040872e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\11_0_0_20170110220453002.jpg,11_0_0_20170110220453002.jpg,11,Male,White,2.0170110220453e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\11_0_0_20170110220500946.jpg,11_0_0_20170110220500946.jpg,11,Male,White,2.0170110220500944e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\11_0_0_20170110220518578.jpg,11_0_0_20170110220518578.jpg,11,Male,White,2.0170110220518576e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\11_0_0_20170110220657089.jpg,11_0_0_20170110220657089.jpg,11,Male,White,2.017011022065709e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\11_0_0_20170110220710576.jpg,11_0_0_20170110220710576.jpg,11,Male,White,2.0170110220710576e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\11_0_0_20170110224233654.jpg,11_0_0_20170110224233654.jpg,11,Male,White,2.0170110224233656e+16,White,Female,,3-9,3.0,9.0,FairFace
part1\11_0_0_20170110224340941.jpg,11_0_0_20170110224340941.jpg,11,Male,White,2.017011022434094e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\11_0_0_20170110224408700.jpg,11_0_0_20170110224408700.jpg,11,Male,White,2.01701102244087e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\11_0_0_20170110224505551.jpg,11_0_0_20170110224505551.jpg,11,Male,White,2.017011022450555e+16,White,Female,,10-19,10.0,19.0,FairFace
part1\11_0_0_20170110224606036.jpg,11_0_0_20170110224606036.jpg,11,Male,White,2.017011022460604e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\11_0_0_20170110224742037.jpg,11_0_0_20170110224742037.jpg,11,Male,White,2.017011022474204e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\11_0_0_20170110224755272.jpg,11_0_0_20170110224755272.jpg,11,Male,White,2.017011022475527e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\11_0_0_20170110225254975.jpg,11_0_0_20170110225254975.jpg,11,Male,White,2.0170110225254976e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\11_0_0_20170110225327724.jpg,11_0_0_20170110225327724.jpg,11,Male,White,2.0170110225327724e+16,Other,Male,,3-9,3.0,9.0,FairFace
part1\11_0_0_20170110225435539.jpg,11_0_0_20170110225435539.jpg,11,Male,White,2.017011022543554e+16,White,Male,,3-9,3.0,9.0,FairFace
part1\11_0_0_20170110225459361.jpg,11_0_0_20170110225459361.jpg,11,Male,White,2.017011022545936e+16,White,Male,,10-19,10.0,19.0,FairFace
part1\11_0_0_20170110232511893.jpg,11_0_0_20170110232511893.jpg,11,Male,White,2.017011023251189e+16,Other,Male,,3-9,3.0,9.0,FairFace
part1\11_0_1_20170103201136230.jpg,11_0_1_20170103201136230.jpg,11,Male,Black,2.017010320113623e+16,Other,Male,,3-9,3.0,9.0,FairFace
part1\11_0_2_20170103200847287.jpg,11_0_2_20170103200847287.jpg,11,Male,Asian,2.017010320084729e+16,Asian,Male,,10-19,10.0,19.0,FairFace
part1\11_0_3_20170104013250186.jpg,11_0_3_20170104013250186.jpg,11,Male,Indian,2.0170104013250184e+16,Indian,Male,,10-19,10.0,19.0,FairFace
part1\11_0_3_20170104230222352.jpg,11_0_3_20170104230222352.jpg,11,Male,Indian,2.017010423022235e+16,Indian,Male,,3-9,3.0,9.0,FairFace
